"Format","AiM CSV File"
"Session","241008_10:00PM"
"Vehicle","SIK Session 1"
"Racer","Jackson"
"Championship",""
"Comment",""
"Date","Wednesday, October 9, 2024"
"Time","1:17 AM"
"Sample Rate","20"
"Duration","550"
"Segment","Session"
"Beacon Markers","550"
"Segment Times","9:10.000"

"Time","Predictive Time","Best Run Diff","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Internal Battery"
"s"," "," ","g","g","g","deg/s","deg/s","deg/s","V"

,"0","0","-0.08","0.02","-1.04","-0.0","0.0","0.0","3.9"
,"0","0","-0.03","0.08","-1.02","0.0","0.0","-0.0","3.9"
,"0","0","0.04","0.03","-0.96","-0.0","0.0","-0.0","3.9"
,"0","0","0.10","-0.04","-0.94","-0.1","0.0","-0.0","3.9"
,"0","0","0.07","-0.09","-0.96","-0.0","0.1","-0.0","3.9"
,"0","0","-0.04","-0.04","-1.01","0.0","0.0","-0.1","3.9"
,"0","0","-0.07","0.06","-1.04","0.0","0.0","-0.1","3.9"
,"0","0","0.01","0.09","-1.02","-0.0","-0.1","-0.1","3.9"
,"0","0","0.03","0.06","-0.98","-0.0","-0.0","-0.0","3.9"
,"0","0","0.04","-0.03","-0.94","-0.0","0.1","-0.0","3.9"
,"0","0","0.01","-0.06","-0.96","-0.0","0.1","0.0","3.9"
,"0","0","-0.07","-0.05","-1.01","-0.0","0.0","-0.0","3.9"
,"0","0","-0.07","0.00","-1.04","-0.1","0.1","-0.0","3.9"
,"0","0","-0.02","0.06","-1.03","-0.0","0.2","-0.0","3.9"
,"0","0","0.02","0.03","-0.96","-0.0","-0.0","-0.0","3.9"
,"0","0","0.03","-0.02","-0.92","-0.1","-0.1","-0.0","3.9"
,"0","0","0.02","-0.08","-0.94","-0.1","0.1","-0.0","3.9"
,"0","0","-0.04","-0.07","-1.00","-0.0","0.2","-0.0","3.9"
,"0","0","-0.06","0.04","-1.04","-0.0","0.0","-0.0","3.9"
,"0","0","-0.01","0.08","-1.01","0.0","-0.0","-0.0","3.9"
,"0","0","0.02","0.06","-0.97","0.0","-0.0","-0.0","3.9"
,"0","0","0.04","-0.02","-0.94","0.0","0.1","-0.1","3.9"
,"0","0","0.02","-0.07","-0.96","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.07","-0.06","-1.00","-0.0","-0.0","-0.0","3.9"
,"0","0","-0.09","-0.02","-1.04","0.0","0.1","-0.0","3.9"
,"0","0","-0.06","0.07","-1.05","-0.1","0.1","-0.0","3.9"
,"0","0","0.00","0.06","-0.99","-0.1","-0.0","-0.0","3.9"
,"0","0","0.03","0.01","-0.93","-0.0","0.1","-0.0","3.9"
,"0","0","0.05","-0.03","-0.92","-0.0","0.1","-0.0","3.9"
,"0","0","0.02","-0.06","-0.96","-0.1","0.0","-0.0","3.9"
,"0","0","-0.12","0.00","-1.02","-0.1","0.1","-0.0","3.9"
,"0","0","-0.15","0.07","-1.06","0.0","0.1","-0.1","3.9"
,"0","0","-0.07","0.09","-1.04","0.0","0.1","-0.0","3.9"
,"0","0","0.03","0.04","-0.97","-0.8","-1.3","0.1","3.9"
,"0","0","0.09","-0.00","-0.94","-0.9","-0.4","-0.1","3.9"
,"0","0","0.10","-0.04","-0.94","-0.3","0.2","-0.1","3.9"
,"0","0","0.01","-0.05","-0.97","-0.0","0.2","-0.1","3.9"
,"0","0","-0.13","0.00","-1.03","-0.0","0.0","0.0","3.9"
,"0","0","-0.07","0.06","-1.05","-0.1","-0.1","0.0","3.9"
,"0","0","-0.02","0.09","-1.04","-0.0","0.0","-0.0","3.9"
,"0","0","0.06","0.06","-0.98","-0.0","0.1","-0.0","3.9"
,"0","0","0.07","0.01","-0.95","-0.1","-0.0","-0.1","3.9"
,"0","0","0.01","-0.04","-0.96","-0.1","-0.0","-0.0","3.9"
,"0","0","-0.04","0.05","-1.00","-0.6","-2.3","0.2","3.9"
,"0","0","-0.10","0.16","-1.02","0.1","-0.7","0.0","3.9"
,"0","0","-0.00","0.13","-1.03","0.2","1.0","-0.3","3.9"
,"0","0","0.08","0.07","-0.97","-0.3","-1.5","-0.7","3.9"
,"0","0","0.09","0.02","-0.94","0.6","1.1","-0.2","3.9"
,"0","0","0.05","-0.01","-0.95","0.4","-0.9","0.3","3.9"
,"0","0","-0.10","-0.01","-1.00","0.8","1.2","-0.1","3.9"
,"0","0","-0.19","0.02","-1.05","-0.5","-2.4","0.1","3.9"
,"0","0","-0.12","0.06","-1.05","0.1","1.3","-0.1","3.9"
,"0","0","0.02","0.08","-0.99","-0.4","-0.5","0.8","3.9"
,"0","0","0.08","0.05","-0.96","0.6","1.1","0.6","3.9"
,"0","0","0.10","-0.01","-0.95","-1.2","-2.8","1.3","3.9"
,"0","0","0.05","-0.03","-0.97","-2.3","-3.8","1.2","3.9"
,"0","0","-0.11","0.00","-1.02","-1.5","-1.7","0.7","3.9"
,"0","0","-0.06","0.07","-1.04","-0.5","-0.3","0.2","3.9"
,"0","0","0.07","0.08","-0.98","-0.1","0.1","-0.0","3.9"
,"0","0","0.08","0.03","-0.93","-0.0","0.2","-0.1","3.9"
,"0","0","0.07","-0.02","-0.94","-0.0","0.0","-0.0","3.9"
,"0","0","-0.06","-0.03","-0.98","-0.0","0.2","0.0","3.9"
